PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Type of test::C,PROPERTY: Type of test::T,PROPERTY: Processing method::CAST,PROPERTY: Processing method::WROUGHT,PROPERTY: Processing method::ANNEAL,PROPERTY: Processing method::OTHER,PROPERTY: Processing method::POWDER,PROPERTY: Microstructure::BCC,PROPERTY: Microstructure::FCC,FORMULA::Al,FORMULA::Co,FORMULA::Fe,FORMULA::Ni,FORMULA::Si,FORMULA::Cr,FORMULA::Mn,FORMULA::Mo,FORMULA::Nb,FORMULA::Cu,FORMULA::Ti,FORMULA::V,FORMULA::Ta,FORMULA::Zr,FORMULA::Hf,FORMULA::W,FORMULA::Zn,FORMULA::Re,FORMULA::Mg
9.9,25,929,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,400,790,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,600,675,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,800,535,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,1000,295,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,1200,92,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
8.4,25,879,89,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
10.7,25,1525,186,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
12.4,25,1246,229,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
12.4,600,862,229,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
12.4,800,846,229,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
12.4,1000,842,229,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
12.4,1200,735,229,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
12.4,1400,656,229,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
12.4,1600,477,229,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
13.7,25,1058,250,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
13.7,600,561,250,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
13.7,800,552,250,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
13.7,1000,548,250,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
13.7,1200,506,250,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
13.7,1400,421,250,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
13.7,1600,405,250,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
6.7,25,1289,114,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.3,1,0,1,1,0,1,0,0,0,0,0
6.8,25,1473,122,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,1,0,1,0,0,0,0,0
6.9,25,1706,130,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.7,1,0,1,1,0,1,0,0,0,0,0
7.3,25,1496,150,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.769,0,0.769,0.769,0,0.769,0,0,0,0,0
7.4,25,1603,156,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.667,0,0.667,0.667,0,0.667,0,0,0,0,0
7.5,25,1645,161,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.588,0,0.588,0.588,0,0.588,0,0,0,0,0
7.6,25,1765,169,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0
7.1,25,1779,141,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
7.2,25,1455,142,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.3,0,1,0,0,0,0,0
6.6,25,932,102,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.1,1,0,1,0.3,0,1,0,0,0,0,0
6.8,25,1312,112,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.3,1,0,1,0.3,0,1,0,0,0,0,0
6.9,25,1301,122,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0.3,0,1,0,0,0,0,0
7.1,25,1436,130,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.7,1,0,1,0.3,0,1,0,0,0,0,0
7.4,25,1603,153,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.769,0,0.769,0.231,0,0.769,0,0,0,0,0
7.5,25,1576,159,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.667,0,0.667,0.2,0,0.667,0,0,0,0,0
6.5,25,866,96,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.3,0,1,0,0,0,0,0
6.5,25,1104,100,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
7.3,25,1776,142,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.25,0,1,0,0,0,0,0
7.2,25,1647,142,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.5,0,1,0,0,0,0,0
7.2,25,1708,141,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.75,0,1,0,0,0,0,0
7.1,25,1786,141,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
7.1,25,1735,140,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.667,0.667,0,0.667,1,0,0.667,0,0,0,0,0
7,25,1538,139,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0,0.5,0,0,0,0,0
6.9,25,1418,138,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0,0.333,1,0,0.333,0,0,0,0,0
7.3,25,1592,143,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
7.1,25,1465,174,1,0,1,0,0,0,0,1,0,0.25,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
8.3,25,215,167,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.333,0,0
8.3,25,140,169,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.25,0,0
8.3,25,330,173,1,0,1,0,0,0,0,0,1,0.053,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7.6,1000,150,189,1,0,1,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.6,25,388,189,1,0,1,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.6,300,411,189,1,0,1,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.6,500,421,189,1,0,1,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.6,700,426,189,1,0,1,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.6,900,230,189,1,0,1,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.6,1100,80,189,1,0,1,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6.3,1000,116,156,1,0,1,0,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
6.3,1100,79,156,1,0,1,0,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
6.3,25,1620,156,1,0,1,0,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
6.3,600,805,156,1,0,1,0,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
6.3,500,1120,156,1,0,1,0,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
6.3,700,567,156,1,0,1,0,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
6.3,900,214,156,1,0,1,0,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
6.3,800,302,156,1,0,1,0,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
6.6,400,1080,170,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6.6,600,1060,170,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6.6,800,860,170,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6.6,1000,594,170,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6.6,1200,105,170,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6.6,600,930,170,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6.6,800,875,170,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6.6,1000,550,170,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6.6,1200,150,170,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
6,400,1070,189,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6,600,1020,189,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
